Titulo,Artista,Year,Genero,Estado,pais,stilo
Ruby Braff And His Men - Hi-Fi Salute To Bunny,Ruby Braff And His Men,1960,['Jazz'],Accepted,Australia,['Swing']
Bad Bunny - Chambea,Bad Bunny,2017,"['Hip Hop', 'Latin']",Accepted,Puerto Rico,['Trap']
Bad Company (3) - Run With The Pack,Bad Company (3),0,['Rock'],Accepted,US,"['Hard Rock', 'Blues Rock']"
Bunny Sigler - From Bunny With Love & A Little Soul,Bunny Sigler,2011,['Funk / Soul'],Accepted,US,
Bunny Saunders - Go-Go London!,Bunny Saunders,1969,"['Rock', 'Pop']",Accepted,UK,
Huey Lewis And The News* - Sports,Huey Lewis & The News,1983,['Rock'],Accepted,US,['Pop Rock']
Beatrix Potter - The Tale Of Benjamin Bunny And Other Stories,Beatrix Potter,1978,"[""Children's""]",Accepted,South Africa,['Story']
Poino - Moan Loose,Poino,2011,['Rock'],Accepted,UK,"['Alternative Rock', 'Noise']"
Bingy Bunny - Coca Cola Bad Boy,Bingy Bunny,1983,['Reggae'],Accepted,Jamaica,['Roots Reggae']
Huey Lewis And The News* - Sports,Huey Lewis & The News,1983,['Rock'],Accepted,Canada,"['Rock & Roll', 'Doo Wop', 'Pop Rock']"
M.A.C. Of Mad - Badluck,M.A.C. Of Mad,2006,"['Electronic', 'Rock']",Accepted,Czech Republic,"['Grindcore', 'Industrial']"
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,US,['Roots Reggae']
Addison Groove - Transistor Rhythm,Addison Groove,2012,['Electronic'],Accepted,Germany,"['Bass Music', 'Electro']"
Bad Company (3) - Run With The Pack,Bad Company (3),1976,['Rock'],Accepted,Greece,['Hard Rock']
Bad Company (3) - Run With The Pack,Bad Company (3),1978,['Rock'],Accepted,US,"['Hard Rock', 'Blues Rock']"
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,Netherlands,['Roots Reggae']
Huey Lewis And The News* - Sports,Huey Lewis & The News,0,['Rock'],Accepted,US,['Pop Rock']
Bad Company (3) - Run With The Pack,Bad Company (3),1978,['Rock'],Accepted,US,"['Hard Rock', 'Blues Rock']"
Huey Lewis And The News* - Sports,Huey Lewis & The News,1984,"['Rock', 'Pop']",Accepted,Europe,['Pop Rock']
Enrique Iglesias Ft. Bad Bunny -  El Baño,Enrique Iglesias,2018,"['Latin', 'Pop']",Accepted,Sweden,['Reggaeton']
Bunny Wailer - Just Be Nice,Bunny Wailer,1993,['Reggae'],Accepted,US,"['Reggae-Pop', 'Dancehall']"
The Residents - Eyeful,The Residents,2020,"['Electronic', 'Rock']",Accepted,Austria,"['Alternative Rock', 'Avantgarde']"
Ruby Braff - Hi-Fi Salute To Bunny,Ruby Braff,1957,['Jazz'],Accepted,Canada,
Enrique Iglesias Featuring Bad Bunny - El Baño,Enrique Iglesias,2018,"['Latin', 'Pop']",Accepted,Europe,['Reggaeton']
Bad Company (3) - Run With The Pack,Bad Company (3),1978,['Rock'],Accepted,US,"['Hard Rock', 'Blues Rock']"
Gorillaz - Cracker Island,Gorillaz,2023,"['Electronic', 'Hip Hop', 'Rock', 'Pop']",Accepted,Worldwide,['Alternative Rock']
Derrick Morgan / Stranger Cole - Things Get From Bad To Worse / You Should Never Have to Come,Derrick Morgan,0,['Reggae'],Accepted,Jamaica,['Reggae']
Bunny Wailer - Protest,Bunny Wailer,1977,['Reggae'],Accepted,Nigeria,
Bad Company (3) - Run With The Pack,Bad Company (3),1976,['Rock'],Accepted,Italy,['Hard Rock']
The Moldy Peaches - Origin Story 1994-1999,The Moldy Peaches,2022,"['Rock', 'Folk, World, & Country']",Accepted,US,['Lo-Fi']
Bunny Wailer - Protest,Bunny Wailer,0,['Reggae'],Accepted,Europe,['Roots Reggae']
Bad Company (3) - Run With The Pack,Bad Company (3),1976,['Rock'],Accepted,Ireland,['Hard Rock']
